,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'business-insider', 'name': 'Business Insider'}","Grace Kay,Jacob Shamsian,Katie Balevic",See the moment Caroline Ellison got into the wrong car after leaving a chaotic courthouse scene,The media circus outside Manhattan federal court picked up Tuesday when journalists waited for Ellison to take the stand.,https://www.businessinsider.com/photos-caroline-ellison-got-into-wrong-car-after-court-2023-10,https://i.insider.com/6526f54455f52b01b35ce9f4?width=1200&format=jpeg,2023-10-11T20:19:05Z,"Caroline Ellison took the stand in SBF's criminal trial.Spencer Platt/Getty Images
<ul>
<li>Caroline Ellison got into the wrong car as she departed from the courthouse on Tuesday.</li>
<li>A picture… [+2085 chars]"
1,"{'id': None, 'name': 'Hackaday'}",Maya Posch,"Out With The Circus Animals, In With The Holograms","As futuristic as holographic technology may sound, in a sense it’s actually already in widespread commercial use. Concerts and similar events already use volumetric projection, with a fine mesh (hologram …read more",https://hackaday.com/2023/09/11/out-with-the-circus-animals-in-with-the-holograms/,https://hackaday.com/wp-content/uploads/2023/09/germanys-roncalli-circ.jpg,2023-09-12T02:00:51Z,"As futuristic as holographic technology may sound, in a sense it’s actually already in widespread commercial use. Concerts and similar events already use volumetric projection, with a fine mesh (holo… [+1390 chars]"
2,"{'id': 'wired', 'name': 'Wired'}",Paresh Dave,Meet the Law Geeks Exposing Google’s Secretive Antitrust Trial,A historic antitrust trial sees Google accused of unlawfully monopolizing search. A handful of antitrust activists are trying to make sure the world sees all the action.,https://www.wired.com/story/law-geeks-exposing-google-secretive-antitrust-trial/,"https://media.wired.com/photos/650b959311224ac51425773d/191:100/w_1280,c_limit/Reporters-On-Google-Antitrust-Trial-Business-1411232503.jpg",2023-09-21T12:00:00Z,"Months out of law school, Yosef Weitzman already has a huge courtroom role in the biggest antitrust trial of the century. In a US federal trial that started last week, Google is accused of unlawfully… [+3338 chars]"
3,"{'id': None, 'name': 'Boing Boing'}",Rob Beschizza,"Judge orders Intuit to stop lying about TurboTax being ""free""","Among America's obscenities is the existence of its ""tax-filing industry,"" wherein normal everyday folks pay through the nose to file their taxes. The corporate circus of rent-seeking and regulatory capture which enables it is firmly entrenched [Propublica], …",https://boingboing.net/2023/09/09/judge-orders-intuit-to-stop-lying-about-turbotax-being-free.html,https://i0.wp.com/boingboing.net/wp-content/uploads/2021/02/yutbotax.jpg?fit=722%2C334&ssl=1,2023-09-09T15:12:10Z,"According to Chappell's 242-page ruling, ""the evidence proves that Intuit engaged in deceptive advertising in violation of Section 5 of the FTC Act."" Intuit ""advertised to consumers that they could f… [+828 chars]"
4,"{'id': None, 'name': 'Boing Boing'}",Carla Sinclair,"GOP adds more chaos with not 1, not 2, but 9 more House speaker candidates","""The show must go on,"" as they say in circus-speak — and on and on, when it comes to the chaotic GOP and their search for a House speaker. So instead of zeroing in on one person they can all agree on to take control of the House, they've decided to prolong th…",https://boingboing.net/2023/10/23/gop-adds-more-chaos-with-not-1-not-2-but-9-more-house-speaker-candidates.html,https://i0.wp.com/boingboing.net/wp-content/uploads/2023/10/kevin-mccarthy.jpeg?fit=1200%2C798&ssl=1,2023-10-23T12:26:21Z,"""The show must go on,"" as they say in circus-speak and on and on, when it comes to the chaotic GOP and their search for a House speaker. So instead of zeroing in on one person they can all agree on t… [+1782 chars]"
5,"{'id': None, 'name': 'Hackaday'}",Dan Maloney,"Hackaday Podcast 236: The Car Episode, Building Leonardo’s Water Mill, Reviving Radio Shack","Elliot and Dan got together this time around to recap the week in hacks, and it looks like the Hackaday writing crew very much had cars on their minds. We both took the bait, with tales of privacy-…",https://hackaday.com/2023/09/15/hackaday-podcast-236-the-car-episode-building-leonardos-water-mill-reviving-radio-shack/,https://hackaday.com/wp-content/uploads/2016/05/microphone.jpg,2023-09-15T16:15:10Z,"Elliot and Dan got together this time around to recap the week in hacks, and it looks like the Hackaday writing crew very much had cars on their minds. We both took the bait, with tales of privacy-vi… [+1009 chars]"
6,"{'id': None, 'name': 'Boing Boing'}",Carla Sinclair,Unpopular Lauren Boebert is in Colorado apologizing to voters after Beetlejuice debacle,"Holier-than-thou Rep. Lauren Boebert is still facing backlash from her Christian constituents since her humiliating Beetlejuice escapade that got her kicked out of the family-friendly theater. So much so, in fact, that the MAGA lawmaker has run back to Colora…",https://boingboing.net/2023/10/30/unpopular-lauren-boebert-is-in-colorado-apologizing-to-voters-after-beetlejuice-debacle.html,https://i0.wp.com/boingboing.net/wp-content/uploads/2023/02/bobo.jpg?fit=1200%2C800&ssl=1,2023-10-30T20:57:52Z,Holier-than-thou Rep. Lauren Boebert is still facing backlash from her Christian constituents since her humiliating Beetlejuice escapade that got her kicked out of the family-friendly theater. So muc… [+1783 chars]
7,"{'id': None, 'name': 'Stereogum'}",Chris DeVille,Circus Devils – “Here We Are”,"Some of you are Robert Pollard completists, and for you I will share this new song from Circus Devils, the Guided By Voices leader’s side project with brothers Todd and Tim Tobias. “Here We Are” is the lead single from Squeeze The Needle, the first Circus Dev…",https://www.stereogum.com/2237306/circus-devils-here-we-are/music/,https://static.stereogum.com/uploads/2023/09/Squeeze-The-Needle-1695744763.jpeg,2023-09-26T16:23:41Z,"Some of you are Robert Pollard completists, and for you I will share this new song from Circus Devils, the Guided By Voices leader’s side project with brothers Todd and Tim Tobias. “Here We Are” is t… [+776 chars]"
8,"{'id': None, 'name': 'Boing Boing'}",Carla Sinclair,"As Jordan prepares for yet another vote, Republicans rage against Matt Gaetz (video)","Step right up, folks! Another day, another speakerless chaos act awaits.



After twice-failed candidate Gym Jordan hit the pause button yesterday, saying he supported Speaker pro tem Patrick McHenry to temporary fill in until January, he's now back in the ru…",https://boingboing.net/2023/10/20/as-jordan-prepares-for-yet-another-vote-republicans-rage-against-matt-gaetz-video.html,https://i0.wp.com/boingboing.net/wp-content/uploads/2022/08/gaetz-scaled.jpeg?fit=1200%2C688&ssl=1,2023-10-20T10:04:10Z,"Step right up, folks! Another day, another speakerless chaos act awaits.
After twice-failed candidate Gym Jordan hit the pause button yesterday, saying he supported Speaker pro tem Patrick McHenry t… [+1223 chars]"
9,"{'id': None, 'name': 'Boing Boing'}",Carla Sinclair,"Republican lawmakers vent about their own inept GOP colleagues: ""A bunch of idiots"" (video)","As the dysfunctional House Republicans wait for today's 10am meeting to find out who won't be filling the empty Speaker seat again, Rep. Austin Scott (R–GA) calls his colleagues ""a bunch of idiots"" while Rep. Don Bacon (R–NE) accuses his colleagues of actuall…",https://boingboing.net/2023/10/13/republican-lawmakers-vent-about-their-own-inept-gop-colleagues-a-bunch-of-idiots-video.html,https://i0.wp.com/boingboing.net/wp-content/uploads/2023/10/austin-scott.jpeg?fit=1200%2C671&ssl=1,2023-10-13T12:43:30Z,"As the dysfunctional House Republicans wait for today's 10am meeting to find out who won't be filling the empty Speaker seat again, Rep. Austin Scott (RGA) calls his colleagues ""a bunch of idiots"" wh… [+1215 chars]"
