,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Gizmodo.com'}",Lucas Ropek,MyPillow CEO's Cyber Symposium Is Already a Deranged Circus,"Mike Lindell, the CEO of MyPillow, has launched a three-day “cyber symposium” aimed at providing incontrovertible evidence that the 2020 presidential election was stolen from Donald Trump by an evil cabal of cyber fiends and politicos. Read more...",https://gizmodo.com/mypillow-ceos-cyber-symposium-is-already-a-deranged-cir-1847465431,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/c80f3b44f7b9b904058b75ceff52ceb2.jpg",2021-08-11T23:30:00Z,"Mike Lindell, the CEO of MyPillow, has launched a three-day cyber symposium aimed at providing incontrovertible evidence that the 2020 presidential election was stolen from Donald Trump by an evil ca… [+4668 chars]"
1,"{'id': None, 'name': 'Design-milk.com'}",Kelly Beall,Magic Circus Editions’ Pop-Up Lighting Collection Is Full of Playful Magic,"Pop-Up Collection, by Magic Circus Editions, merges 70s retro aesthetics with contemporary design for imaginative, fun and playful results.",https://design-milk.com/magic-circus-editions-pop-up-lighting-collection-is-full-of-playful-magic/,https://design-milk.com/images/2021/07/Magic-Circus-Editions-Pop-Up-Collection-Marie-Lise-Fery-Table-Lamp-Rose-Photo-Pierrick-Verny.jpg,2021-08-02T13:00:01Z,"Magic Circus Editions, a brand established in 2015 by Marie-Lise Fery, has become known for lighting that plays with light and proportion. Fitting, since its designs are inspired by cabarets and the … [+747 chars]"
2,"{'id': 'reuters', 'name': 'Reuters'}",Reuters,"MGM resorts, Orix submit proposal to build first casino in Japan - Reuters","U.S. Casino operator MGM Resorts International <a href=""https://www.reuters.com/companies/MGM.N"" target=""_blank"">(MGM.N)</a> and partner Orix Corp <a href=""https://www.reuters.com/companies/8591.T"" target=""_blank"">(8591.T)</a> have submitted a proposal to bui…",https://www.reuters.com/business/mgm-resorts-orix-submit-proposal-build-first-casino-japan-2021-07-21/,https://www.reuters.com/resizer/qBgAwxLwgHF-sqSY4MjmcbozYaY=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/G4H6MRVV7RMNBF7S7364IGUNXM.jpg,2021-07-21T11:13:00Z,"The Bellagio hotel and casino is seen along the Las Vegas strip after MGM Resorts International announced it was selling the resort and Circus Circus in separate deals in Las Vegas, Nevada, U.S. Octo… [+1212 chars]"
3,"{'id': 'the-globe-and-mail', 'name': 'The Globe And Mail'}",,Canadian weightlifter Maude Charron wins gold at Tokyo Olympics - The Globe and Mail,"<ol><li>Canadian weightlifter Maude Charron wins gold at Tokyo Olympics  The Globe and Mail
</li><li>Canada's Maude Charron wins Olympic weightlifting gold  CBC.ca
</li><li>Maude Charron lifted the bar for Olympic gold and felt the weight of her moment  Tor…",https://www.theglobeandmail.com/sports/article-canadian-weightlifter-maude-charron-wins-gold-at-tokyo-olympics/,https://www.theglobeandmail.com/resizer/vdhRDOXuVkvonE4DBI2Zg1Dc7uU=/1200x0/filters:quality(80)/cloudfront-us-east-1.images.arcpublishing.com/tgam/EUFXVZ7VAFKDTM2K2RGKM5FX5M.jpg,2021-07-27T18:22:02Z,"Maude G. Charron of Canada celebrates after a lift in the women's 64kg weightlifting event at the 2020 Summer Olympics in Tokyo on July 27.
Luca Bruno/The Associated Press
As Maude Charron pressed … [+5562 chars]"
4,"{'id': 'reuters', 'name': 'Reuters'}",Reuters,London commuters warned of transport misery if strike goes ahead - Reuters UK,London's transport operator warned customers on Thursday that planned strike action next week may go ahead causing disruption across the underground network.,https://www.reuters.com/world/uk/london-commuters-warned-transport-misery-if-strike-goes-ahead-2021-08-19/,https://www.reuters.com/resizer/b2EwX9Y4lWfFD-PJIzb9KM8rPm0=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/MZZSUSNKCJIONBNWL4C5U6BXIY.jpg,2021-08-19T09:55:00Z,"People, some wearing protective face masks, walk along a platform at Oxford Circus underground station, amid the coronavirus disease (COVID-19) pandemic, in London, Britain, July 4, 2021. REUTERS/Hen… [+549 chars]"
5,"{'id': 'reuters', 'name': 'Reuters'}",Reuters,Police make 20 arrests in London after fans celebrate England's win - Reuters,London police said they made 20 arrests after fans gathered to celebrate England's 2-1 win over Denmark in Wednesday's Euro 2020 semi-final.,https://www.reuters.com/world/uk/police-make-20-arrests-london-after-fans-celebrate-englands-win-2021-07-08/,https://www.reuters.com/resizer/IBdB8FViQJfFjjUhegRJvVAgiik=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/VGO5WEMMQFOSRMGX4AYVDL3QV4.jpg,2021-07-08T05:35:00Z,"Soccer Football - Euro 2020 - Fans gather for England v Denmark - London, Britain - July 7, 2021 Fans celebrate after the match REUTERS/Tom JacobsJuly 8 (Reuters) - London police said they made 20 ar… [+691 chars]"
6,"{'id': None, 'name': 'Boing Boing'}",Jason Weisberger,The Venice Beach boardwalk is pretty much clear of homeless encampments,"Apparently, the circus that is Los Angeles' homeless outreach and service programs aligned well enough to cooperate, and maintained their resolve long enough to find housing for most of the folks who had staked out a very visible shantytown on the Venice Beac…",https://boingboing.net/2021/08/02/the-venice-beach-boardwalk-is-pretty-much-clear-of-homeless-encampments.html,https://i1.wp.com/boingboing.net/wp-content/uploads/2021/08/0.jpeg?fit=480%2C360&ssl=1,2021-08-02T17:57:14Z,"Apparently, the circus that is Los Angeles' homeless outreach and service programs aligned well enough to cooperate, and maintained their resolve long enough to find housing for most of the folks who… [+3051 chars]"
7,"{'id': None, 'name': 'Gizmodo.com'}",Andrew Liszewski,"This $1,000 Knock-Off of a $100,000 Patek Philippe Swiss Watch Is Shockingly Detailed","It’s a tough time for amateur watch collectors trying to break into the hobby. Even though a Swiss watch is considered the pinnacle of fine craftsmanship and engineering, knock-offs have been created that are nearly impossible to spot without a highly trained…",https://gizmodo.com/this-1-000-knock-off-of-a-100-000-patek-philippe-swis-1847456286,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/9adcb43a67da5afd6b0531f7b5b1337d.gif",2021-08-10T14:20:00Z,"Its a tough time for amateur watch collectors trying to break into the hobby. Even though a Swiss watch is considered the pinnacle of fine craftsmanship and engineering, knock-offs have been created … [+3121 chars]"
8,"{'id': None, 'name': 'Rock Paper Shotgun'}",Lauren Morton,Deck builder The Amazing American Circus launches in September,"Come one, come all to another deckbuilder game! This one's about a traveling circus though, which certainly sets it apart from the rest of the latest strategy troupe. The Amazing American Circus is what its developers call a ""unique blend of RPG, tycoon, and …",https://www.rockpapershotgun.com/deck-builder-the-amazing-american-circus-launches-september,https://assets2.rockpapershotgun.com/amazing-american-circus.jpg/BROK/resize/1200x630%3E/format/jpg/quality/80/amazing-american-circus.jpg,2021-08-09T22:13:33Z,"Come one, come all to another deckbuilder game! This one's about a traveling circus though, which certainly sets it apart from the rest of the latest strategy troupe. The Amazing American Circus is w… [+1509 chars]"
9,"{'id': None, 'name': 'Boing Boing'}",Carla Sinclair,Watch this dizzying montage of Fox hypocrites on Operation FDA Warp Speed Approval,"This Daily Show supercut of Fox ""reporters"" praising Operation Warp Speed and lambasting the FDA's Pfizer approval is like a nauseating see-saw ride set inside a circus tent. 



Up: ""Operation Warp Speed is great.""



Down: ""All of a sudden, out of nowhere, …",https://boingboing.net/2021/08/25/watch-this-dizzying-montage-of-fox-hypocrites-on-operation-fda-warp-speed-approval.html,https://i0.wp.com/boingboing.net/wp-content/uploads/2021/08/whiplash-1.jpg?fit=1200%2C657&ssl=1,2021-08-25T15:33:07Z,"This Daily Show supercut of Fox ""reporters"" praising Operation Warp Speed and lambasting the FDA's Pfizer approval is like a nauseating see-saw ride set inside a circus tent. 
Up: ""Operation Warp Sp… [+536 chars]"
